number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.002057422910972188,2023-06-27 09:49:56.699382,2023-06-27 09:58:38.714945,0 days 00:08:42.015563,0.00015113147818333008,COMPLETE
1,0.0020569622633047403,2023-06-27 09:58:38.717669,2023-06-27 10:07:13.231250,0 days 00:08:34.513581,0.00021387506785774984,COMPLETE
2,0.002039243959976981,2023-06-27 10:07:13.232494,2023-06-27 10:15:51.111510,0 days 00:08:37.879016,0.0024577791513492498,COMPLETE
3,0.002059181989170611,2023-06-27 10:15:51.112728,2023-06-27 10:24:24.424705,0 days 00:08:33.311977,0.00016747479673889584,COMPLETE
4,0.002045757110075404,2023-06-27 10:24:24.426599,2023-06-27 10:32:58.076782,0 days 00:08:33.650183,0.00022376731612739736,COMPLETE
