number,value,datetime_start,datetime_complete,duration,params_lr,state
0,0.0021978446554082134,2023-06-27 21:44:09.283977,2023-06-27 21:50:14.025819,0 days 00:06:04.741842,0.00011049778932160837,COMPLETE
1,0.0020409454319936533,2023-06-27 21:50:14.027027,2023-06-27 21:56:12.912294,0 days 00:05:58.885267,0.002639203815995965,COMPLETE
2,0.0022569164168089626,2023-06-27 21:56:12.913479,2023-06-27 22:02:09.877867,0 days 00:05:56.964388,0.00010374182462883841,COMPLETE
3,0.0021070753534634906,2023-06-27 22:02:09.879178,2023-06-27 22:08:07.645508,0 days 00:05:57.766330,0.0006031763481545709,COMPLETE
4,0.0022766586781168977,2023-06-27 22:08:07.648953,2023-06-27 22:14:09.384808,0 days 00:06:01.735855,0.00010626846164667237,COMPLETE
